"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0001879828","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 東京",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879829","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 神奈川",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879830","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 新潟",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879831","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 富山",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879832","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 石川",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879833","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 福井",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879834","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 山梨",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879835","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 長野",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879836","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 岐阜",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879837","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 静岡",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879838","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 愛知",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879839","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 三重",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879840","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 滋賀",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879841","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 京都",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879842","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 大阪",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879843","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 兵庫",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879844","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 奈良",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879845","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 和歌山",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879846","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 鳥取",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879847","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 島根",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879848","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 岡山",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879849","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 広島",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879850","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 山口",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879851","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 徳島",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879852","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 香川",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879853","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 愛媛",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879854","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 高知",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879855","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 福岡",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879856","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 佐賀",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879857","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 長崎",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879858","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 熊本",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879859","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 大分",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879860","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 宮崎",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879861","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 鹿児島",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879862","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 沖縄",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0003282762","00500225","牛乳乳製品統計調査 生乳生産量累年統計",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201701-201712","2021-05-13"
"0003283101","00500225","牛乳乳製品統計調査 生乳移出入量累年統計",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201701-201712","2021-05-13"
"0003283228","00500225","牛乳乳製品統計調査 生乳処理量（用途別）累年統計",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201701-201712","2021-05-13"
"0003283237","00500225","牛乳乳製品統計調査 牛乳等生産量累年統計",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201701-201712","2021-05-13"
"0003283384","00500225","牛乳乳製品統計調査 飲用牛乳等入出荷量累年統計",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201701-201712","2021-05-13"
"0003284049","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201701-201712","2019-03-06"
"0003052254","00500225","累年統計表 生乳生産量及び用途別処理量（全国）","1","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059497","00500225","統計表 生乳生産量及び用途別処理量（全国農業地域別・処理内訳）","1","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052229","00500225","統計表 はっ酵乳生産量（都道府県別・月別）","10","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052230","00500225","統計表 乳酸菌飲料生産量（都道府県別・月別）","11","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052231","00500225","統計表 飲用牛乳等移出量（都道府県別・月別）","12","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052232","00500225","統計表 飲用牛乳等移入量（都道府県別・月別）","13","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060106","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） 年計","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060107","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） １月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060108","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ２月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060109","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ３月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060110","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ４月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060111","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ５月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060112","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ６月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060113","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ７月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060114","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ８月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060115","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） ９月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060116","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） 10月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060117","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） 11月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060118","00500225","統計表 飲用牛乳等移出入量（都道府県別・月別） 12月分","14","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059499","00500225","統計表 乳製品生産量（全国・北海道・都府県、月別）","15","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059523","00500225","統計表 乳製品の在庫量（全国）","16","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052248","00500225","統計表 牛乳処理場及び乳製品工場数 常用従業者数規模別の工場数（全国）（12月31日現在）","17","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059500","00500225","統計表 牛乳処理場及び乳製品工場数 牛乳処理場・乳製品工場数（都道府県別）（平成22年12月31日現在）","17","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059501","00500225","統計表 牛乳処理場及び乳製品工場数 飲用牛乳等及び乳飲料を製造した工場数（都道府県別）（平成22年12月31日現在）","17","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059502","00500225","統計表 牛乳処理場及び乳製品工場数 乳製品を製造した工場数（都道府県別）（平成22年12月31日現在）","17","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059503","00500225","統計表 牛乳処理場及び乳製品工場数 12月の１日当たり生乳処理量規模別の工場処理場数（都道府県別）（平成22年12月31日現在）","17","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052249","00500225","統計表 牛乳・乳製品の生産能力等（全国）（12月31日現在）","18","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052250","00500225","統計表 飲用牛乳等の容器・容量別工場数（全国）（10月現在） 牛乳","19","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052251","00500225","統計表 飲用牛乳等の容器・容量別工場数（全国）（10月現在） 加工乳・成分調整牛乳","19","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052197","00500225","統計表 生乳生産量（都道府県別・月別）","2","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059812","00500225","累年統計表 生乳生産量及び用途別処理量（全国農業地域別）","2","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052246","00500225","統計表 飲用牛乳等の容器・容量別生産量（都道府県別）（平成22年10月） 牛乳","20","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052247","00500225","統計表 飲用牛乳等の容器・容量別生産量（都道府県別）（平成22年10月） 加工乳・成分調整牛乳","20","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052198","00500225","統計表 生乳移出量（都道府県別・月別）","3","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059813","00500225","累年統計表 生乳生産量及び用途別処理量（地方農政局等別）","3","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052199","00500225","統計表 生乳移入量（都道府県別・月別）","4","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052255","00500225","累年統計表 牛乳等生産量（全国）","4","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059814","00500225","累年統計表 牛乳等生産量（全国農業地域別）","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060093","00500225","統計表 生乳移出入量（都道府県別・月別） 年計","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060094","00500225","統計表 生乳移出入量（都道府県別・月別） １月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060095","00500225","統計表 生乳移出入量（都道府県別・月別） ２月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060096","00500225","統計表 生乳移出入量（都道府県別・月別） ３月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060097","00500225","統計表 生乳移出入量（都道府県別・月別） ４月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060098","00500225","統計表 生乳移出入量（都道府県別・月別） ５月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060099","00500225","統計表 生乳移出入量（都道府県別・月別） ６月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060100","00500225","統計表 生乳移出入量（都道府県別・月別） ７月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060101","00500225","統計表 生乳移出入量（都道府県別・月別） ８月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060102","00500225","統計表 生乳移出入量（都道府県別・月別） ９月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060103","00500225","統計表 生乳移出入量（都道府県別・月別） 10月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060104","00500225","統計表 生乳移出入量（都道府県別・月別） 11月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003060105","00500225","統計表 生乳移出入量（都道府県別・月別） 12月分","5","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052213","00500225","統計表 生乳処理量（用途別都道府県別・月別） 処理量計","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052214","00500225","統計表 生乳処理量（用途別都道府県別・月別） 牛乳等向け処理量","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052215","00500225","統計表 生乳処理量（用途別都道府県別・月別） 牛乳等向け処理量のうち業務用向け処理量","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052216","00500225","統計表 生乳処理量（用途別都道府県別・月別） 乳製品向け処理量","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052217","00500225","統計表 生乳処理量（用途別都道府県別・月別） 乳製品向け処理量のうちチーズ向け処理量","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052218","00500225","統計表 生乳処理量（用途別都道府県別・月別） 乳製品向け処理量のうちクリーム等向け処理量","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052219","00500225","統計表 生乳処理量（用途別都道府県別・月別） その他向け処理量","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052220","00500225","統計表 生乳処理量（用途別都道府県別・月別） その他向け処理量のうち欠減","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059815","00500225","累年統計表 牛乳等生産量（地方農政局等別）","6","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052256","00500225","累年統計表 乳製品生産量（全国）","7","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003059498","00500225","統計表 牛乳等生産量（全国農業地域別・牛乳等内訳）","7","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052221","00500225","統計表 飲用牛乳等生産量（都道府県別・月別） 飲用牛乳等計","8","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052222","00500225","統計表 飲用牛乳等生産量（都道府県別・月別） 牛乳","8","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052223","00500225","統計表 飲用牛乳等生産量（都道府県別・月別） 牛乳のうち業務用","8","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052224","00500225","統計表 飲用牛乳等生産量（都道府県別・月別） 牛乳のうち学校給食用","8","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052225","00500225","統計表 飲用牛乳等生産量（都道府県別・月別） 加工乳・成分調整牛乳","8","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052226","00500225","統計表 飲用牛乳等生産量（都道府県別・月別） 加工乳・成分調整牛乳のうち業務用","8","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052227","00500225","統計表 飲用牛乳等生産量（都道府県別・月別） 加工乳・成分調整牛乳のうち成分調整牛乳","8","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052228","00500225","統計表 乳飲料生産量（都道府県別・月別）","9","牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052252","00500225","累年統計表 （参考） 乳用牛の年次別飼養戸数及び頭数",NA,"牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003052253","00500225","累年統計表 （参考） 経産牛１頭当たり搾乳量",NA,"牛乳乳製品統計調査","確報","平成22年牛乳乳製品統計","年次","201001-201012","2012-03-30"
"0003071636","00500225","統計表 生乳生産量及び用途別処理量（全国農業地域別・処理内訳）","1","牛乳乳製品統計調査","確報","平成23年牛乳乳製品統計","年次","201101-201112","2013-03-29"
"0003071711","00500225","累年統計表 生乳生産量及び用途別処理量（全国）","1","牛乳乳製品統計調査","確報","平成23年牛乳乳製品統計","年次","201101-201112","2013-03-29"
"0003071684","00500225","統計表 はっ酵乳生産量（都道府県別・月別）","10","牛乳乳製品統計調査","確報","平成23年牛乳乳製品統計","年次","201101-201112","2013-03-29"
"0003071704","00500225","統計表 乳酸菌飲料生産量（都道府県別・月別）","11","牛乳乳製品統計調査","確報","平成23年牛乳乳製品統計","年次","201101-201112","2013-03-29"
"0003071665","00500225","統計表 飲用牛乳等移出量（都道府県別・月別）","12","牛乳乳製品統計調査","確報","平成23年牛乳乳製品統計","年次","201101-201112","2013-03-29"
