"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003228267","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2005年～2006年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","200601-200612","2024-05-28"
"0003228268","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2007年～2008年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","200801-200812","2024-05-28"
"0003228269","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2009年～2010年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","201001-201012","2024-05-28"
"0003228270","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2011年～2012年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","201201-201212","2024-05-28"
"0003228271","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2013年～2014年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","201401-201412","2024-05-28"
"0003228272","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2015年～2016年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","201601-201612","2024-05-28"
"0003258379","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　1988年～1990年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","199001-199012","2024-05-28"
"0003258380","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　1991年～1992年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","199201-199212","2024-05-28"
"0003258381","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　1993年～1994年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","199401-199412","2024-05-28"
"0003258382","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　1995年～1996年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","199601-199612","2024-05-28"
"0003258383","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　1997年～1998年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","199801-199812","2024-05-28"
"0003258384","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　1999年～2000年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","200001-200012","2024-05-28"
"0003313975","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2017年～2018年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","201801-201812","2024-05-28"
"0003334002","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2019年～2020年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","202001-202012","2024-05-28"
"0003425303","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2021年～2022年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","202201-202212","2024-05-28"
"0004002160","00350300","確報 税関別概況品別国別表 輸出(1-12月：確定) 2023年 , (1-12月：確々報) 2024年 , (1-4月：確報) 2025年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","202401-202412","2025-05-29"
"0003228280","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2001年～2002年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","200201-200212","2024-05-28"
"0003228281","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2003年～2004年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","200401-200412","2024-05-28"
"0003228282","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2005年～2006年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","200601-200612","2024-05-28"
"0003228283","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2007年～2008年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","200801-200812","2024-05-28"
"0003228284","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2009年～2010年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","201001-201012","2024-05-28"
"0003228285","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2011年～2012年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","201201-201212","2024-05-28"
"0003228286","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2013年～2014年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","201401-201412","2024-05-28"
"0003228287","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2015年～2016年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","201601-201612","2024-05-28"
"0003258385","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　1988年～1990年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","199001-199012","2024-05-28"
"0003258386","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　1991年～1992年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","199201-199212","2024-05-28"
"0003258387","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　1993年～1994年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","199401-199412","2024-05-28"
"0003258388","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　1995年～1996年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","199601-199612","2024-05-28"
"0003258389","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　1997年～1998年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","199801-199812","2024-05-28"
"0003258390","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　1999年～2000年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","200001-200012","2024-05-28"
"0003313976","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2017年～2018年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","201801-201812","2024-05-28"
"0003334003","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2019年～2020年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","202001-202012","2024-05-28"
"0003425333","00350300","確定 税関別概況品別国別表 (輸入 1-12月：確定)　2021年～2022年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","202201-202212","2024-05-28"
"0004002163","00350300","確速 税関別概況品別国別表 輸入(1-12月：確定) 2023年 , (1-12月：確々報)2024年 , (1-3月：確報、4月：輸入9桁速報)2025年","貿易統計_税関別","税関別概況品別国別表","輸入","年次","202401-202412","2025-05-29"
