"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004018304","00550300","財別季節調整済指数【月次】 在庫（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018305","00550300","財別季節調整済指数【月次】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018306","00550300","財別原指数【月次】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018307","00550300","財別原指数【月次】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018308","00550300","財別原指数【月次】 在庫（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018309","00550300","財別原指数【月次】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018310","00550300","品目別季節調整済指数【月次】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018311","00550300","品目別季節調整済指数【月次】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018312","00550300","品目別季節調整済指数【月次】 在庫（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018313","00550300","品目別季節調整済指数【月次】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018314","00550300","品目別原指数【月次】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018315","00550300","品目別原指数【月次】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018316","00550300","品目別原指数【月次】 在庫（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018317","00550300","品目別原指数【月次】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
